feature,importance,model,model_path
num__income,0.1217694878578186,XGBClassifier,models_out\model_xgboost.joblib
bin__used_bnpl,0.09858375042676926,XGBClassifier,models_out\model_xgboost.joblib
bin__emergency_fund,0.08239979296922684,XGBClassifier,models_out\model_xgboost.joblib
num__save_rate,0.05373363941907883,XGBClassifier,models_out\model_xgboost.joblib
num__obligation_ratio,0.04449031502008438,XGBClassifier,models_out\model_xgboost.joblib
bin__is_employed,0.04229070618748665,XGBClassifier,models_out\model_xgboost.joblib
num__bills_ontime,0.04169869422912598,XGBClassifier,models_out\model_xgboost.joblib
num__spend_to_income,0.03635191172361374,XGBClassifier,models_out\model_xgboost.joblib
num__subs_late,0.036262836307287216,XGBClassifier,models_out\model_xgboost.joblib
num__rent_to_income,0.03428254649043083,XGBClassifier,models_out\model_xgboost.joblib
num__phone_hours,0.028826158493757248,XGBClassifier,models_out\model_xgboost.joblib
num__emi_to_income,0.028011374175548553,XGBClassifier,models_out\model_xgboost.joblib
bin__crypto,0.023348448798060417,XGBClassifier,models_out\model_xgboost.joblib
num__upi_txn_week,0.020840054377913475,XGBClassifier,models_out\model_xgboost.joblib
num__subs_count,0.018879538401961327,XGBClassifier,models_out\model_xgboost.joblib
num__job_months,0.018434343859553337,XGBClassifier,models_out\model_xgboost.joblib
cat__rent_mode_Others,0.016074609011411667,XGBClassifier,models_out\model_xgboost.joblib
num__save_amt,0.016007209196686745,XGBClassifier,models_out\model_xgboost.joblib
num__monthly_spend,0.015949539840221405,XGBClassifier,models_out\model_xgboost.joblib
cat__phone_type_Mid-Range,0.015638409182429314,XGBClassifier,models_out\model_xgboost.joblib
cat__city_tier_tier2,0.01248916145414114,XGBClassifier,models_out\model_xgboost.joblib
cat__education_UnderGraduate,0.0112251415848732,XGBClassifier,models_out\model_xgboost.joblib
num__goal_months,0.010579447261989117,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_fi,0.010511374101042747,XGBClassifier,models_out\model_xgboost.joblib
bin__invest_fd,0.009649498388171196,XGBClassifier,models_out\model_xgboost.joblib
num__emi_total,0.008905293419957161,XGBClassifier,models_out\model_xgboost.joblib
cat__education_PostGraduate,0.008703820407390594,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_jar,0.008637567050755024,XGBClassifier,models_out\model_xgboost.joblib
num__address_months,0.007574994582682848,XGBClassifier,models_out\model_xgboost.joblib
num__age,0.00749559048563242,XGBClassifier,models_out\model_xgboost.joblib
cat__rent_mode_Cash,0.0071711549535393715,XGBClassifier,models_out\model_xgboost.joblib
bin__invest_mf,0.006870624143630266,XGBClassifier,models_out\model_xgboost.joblib
cat__phone_type_Budget,0.006865344010293484,XGBClassifier,models_out\model_xgboost.joblib
num__rent_amt,0.006826335098594427,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_coinswitch,0.006320873275399208,XGBClassifier,models_out\model_xgboost.joblib
cat__rent_mode_Bank Transfer,0.006232008337974548,XGBClassifier,models_out\model_xgboost.joblib
cat__rent_mode_None,0.006163586396723986,XGBClassifier,models_out\model_xgboost.joblib
bin__has_goal,0.005929730366915464,XGBClassifier,models_out\model_xgboost.joblib
bin__invest_stocks,0.005545357707887888,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_paytm,0.0054379613138735294,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_phonespe,0.005396445281803608,XGBClassifier,models_out\model_xgboost.joblib
bin__use_saving_apps,0.005242005921900272,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_groww,0.005225388798862696,XGBClassifier,models_out\model_xgboost.joblib
bin__uses_gpay,0.005197605583816767,XGBClassifier,models_out\model_xgboost.joblib
bin__charity,0.005053429398685694,XGBClassifier,models_out\model_xgboost.joblib
num__recharge_spend,0.0042952424846589565,XGBClassifier,models_out\model_xgboost.joblib
cat__rent_mode_UPI,0.004001424182206392,XGBClassifier,models_out\model_xgboost.joblib
cat__city_tier_tier3,0.003665621392428875,XGBClassifier,models_out\model_xgboost.joblib
bin__pay_rent,0.0033378631342202425,XGBClassifier,models_out\model_xgboost.joblib
bin__has_emi,0.0033154841512441635,XGBClassifier,models_out\model_xgboost.joblib
bin__do_save,0.001600368064828217,XGBClassifier,models_out\model_xgboost.joblib
cat__city_tier_tier1,0.0006607830873690546,XGBClassifier,models_out\model_xgboost.joblib
bin__is_student,0.0,XGBClassifier,models_out\model_xgboost.joblib
bin__upi_use,0.0,XGBClassifier,models_out\model_xgboost.joblib
bin__invest_savings,0.0,XGBClassifier,models_out\model_xgboost.joblib
