feature,mean_abs_shap
emergency_fund,2.2041
used_bnpl,1.4056087
income,1.2902054
phone_hours,1.056746
upi_txn_week,1.0345407
bills_ontime,0.8719017
subs_late,0.82225466
obligation_ratio,0.6899745
job_months,0.64359486
spend_to_income,0.621691
monthly_spend,0.5332227
crypto,0.439775
save_rate,0.40211514
subs_count,0.33491957
rent_to_income,0.3258517
rent_amt,0.2051602
is_employed,0.17134242
age,0.15389831
goal_months,0.14749266
address_months,0.13326976
save_amt,0.09923844
phone_type_Budget,0.09115272
invest_mf,0.089192994
uses_jar,0.07856019
uses_paytm,0.07190707
emi_to_income,0.060674347
education_PostGraduate,0.059941784
recharge_spend,0.05512565
charity,0.04727553
uses_groww,0.046708908
uses_phonespe,0.036608998
uses_coinswitch,0.03644025
emi_total,0.029237617
use_saving_apps,0.025518706
uses_fi,0.023401503
has_goal,0.020992713
rent_mode_Bank Transfer,0.017532885
rent_mode_Cash,0.016578672
education_UnderGraduate,0.015033022
uses_gpay,0.014969497
phone_type_Mid-Range,0.0094685415
invest_fd,0.009436231
rent_mode_UPI,0.009225967
invest_stocks,0.006553419
pay_rent,0.0047856574
has_emi,0.0044838865
rent_mode_None,0.003948638
rent_mode_Others,0.0039445157
city_tier_tier2,0.002884385
city_tier_tier3,0.0024645333
do_save,0.0017839436
city_tier_tier1,0.0011515056
is_student,0.0
upi_use,0.0
invest_savings,0.0
